name,url,original_url,channel_type,country,is_active,note
ROOM ONLINE STORE,https://www.room-onlinestore.jp,https://www.room-onlinestore.jp/product-group/303?page=3,unknown,,True,
cocorozashi,https://shop.cocorozashi.jp,https://shop.cocorozashi.jp/ko/collections/tightbooth-production,unknown,,True,
FreshService,https://asia.freshservice.jp,https://asia.freshservice.jp/collections/all,unknown,,True,
wegenk 위젠크,https://www.wegenk.com,https://wegenk.com/?mode=cate&cbid=2686342&csid=0&page=2,unknown,,True,
카시나 Kasina,https://www.kasina.co.kr,https://www.kasina.co.kr/clothing?page=2,unknown,KR,True,
Linden Is Enough,https://www.lindenisenough.com,https://lindenisenough.com/en-kr/,unknown,,True,
Rocky Mountain Featherbed,https://www.rocky-mountain-featherbed.com,https://rocky-mountain-featherbed.com/products/m65-fishtail-vtg-poplin-with-liner-2025aw,unknown,,True,
SEVENSTORE,https://www.sevenstore.com,https://www.sevenstore.com/brands/aboutblank/,unknown,,True,
process,https://www.process-store.com,https://process-store.com/products/khoki-vintage-effect-embroidered-jacket,unknown,,True,
All Human Can Learn,https://www.weareallhumans.com,https://weareallhumans.com/products/los-pantalones,unknown,,True,
PAN 金沢,https://www.pan-kanazawa.com,https://pan-kanazawa.com/collections/new-arrival,unknown,,True,
NOCLAIM,https://www.noclaim.co.kr,https://noclaim.co.kr/product/aa-spectrum-ascend-shell-jacket-graphite,unknown,KR,True,
côte&ciel,https://apac.coteetciel.com,https://apac.coteetciel.com/ko-kr/products/minho-carbon-black,unknown,,True,
Velour Garments,https://www.velourgarments.eu,https://velourgarments.eu/products/7-gauge-chocolate-knit,unknown,EU,True,
Laid back 지바현,https://laidback0918.shop-pro.jp,https://laidback0918.shop-pro.jp/?mode=cate&cbid=2781736&csid=0&page=2,unknown,,True,
nightwaks,https://www.nightwaks.com,https://m.nightwaks.com/product/list.html?cate_no=251&page=5,unknown,,True,
NOMAD,https://www.nomadshop.net,https://nomadshop.net/products/3l-gore-tex-interops-jacket-gen-1-hardshell-wp-alpha-green-j123a-gt,unknown,,True,
Sky High Farm Goods,https://www.skyhighfarmgoods.com,https://skyhighfarmgoods.com/products/handknit-barry-cardigan,unknown,,True,
MKI MIYUKI ZOKU,https://www.mkistore.co.uk,https://www.mkistore.co.uk/,unknown,UK,True,
메르카리 (중고 마켓),https://jp.mercari.com,https://jp.mercari.com/item/m86020184058,secondhand-marketplace,JP,True,검토 필요
Casestudy,https://www.casestudystore.co.kr,https://casestudystore.co.kr/product/rtw.html,unknown,KR,True,
